role,stat_name,mean
LWB,clearances_effective_p90,2.4524783699107
RF,clearances_effective_p90,0.252808988764045
LF,clearances_effective_p90,1.86488970588235
DM,blocks_p90,0.319773579729103
UNK,blocks_p90,0.265318405734691
RB,blocks_p90,0.325646364671256
RM,blocks_p90,0.157484506581766
LW,blocks_p90,0.0817341158183316
RW,blocks_p90,0.0739901493183097
CM,blocks_p90,0.281138469209418
CAM,blocks_p90,0.0982142156684502
CF,blocks_p90,0.0860504880107181
CB,blocks_p90,0.731480738479878
GK,blocks_p90,0
LM,blocks_p90,0.166389961919126
LB,blocks_p90,0.297473457311246
RWB,blocks_p90,0.230431621749607
LWB,blocks_p90,0.262804994548751
RF,blocks_p90,0
LF,blocks_p90,0
DM,blocked_passes_p90,0.844709220860447
UNK,blocked_passes_p90,0.927423218122539
RB,blocked_passes_p90,0.775216286537024
RM,blocked_passes_p90,0.855410793737881
LW,blocked_passes_p90,0.843755156483223
RW,blocked_passes_p90,0.846810715329118
CM,blocked_passes_p90,0.844789111344645
CAM,blocked_passes_p90,0.745993188100258
CF,blocked_passes_p90,0.569917724339433
CB,blocked_passes_p90,0.488070158803571
GK,blocked_passes_p90,0.0102587006765683
LM,blocked_passes_p90,0.927483705108459
LB,blocked_passes_p90,0.809158265125901
RWB,blocked_passes_p90,0.918681154116124
LWB,blocked_passes_p90,0.879722581131832
RF,blocked_passes_p90,1.33333333333333
LF,blocked_passes_p90,0
DM,duel_won_p90,4.84007770198936
UNK,duel_won_p90,6.36471890012682
RB,duel_won_p90,4.71789088438238
RM,duel_won_p90,4.52016853921793
LW,duel_won_p90,4.90655978742925
RW,duel_won_p90,4.724069541847
CM,duel_won_p90,4.62020277101596
CAM,duel_won_p90,4.46950880703086
CF,duel_won_p90,4.64841583814675
CB,duel_won_p90,4.27236281442094
GK,duel_won_p90,0.444758715036448
LM,duel_won_p90,4.48365572176976
LB,duel_won_p90,4.54693891961014
RWB,duel_won_p90,4.59602287350194
LWB,duel_won_p90,4.73175264358066
RF,duel_won_p90,4.12796504369538
LF,duel_won_p90,5.29878393665158
DM,duel_lost_p90,4.3510801820761
UNK,duel_lost_p90,7.29762344986531
RB,duel_lost_p90,3.9962721876555
RM,duel_lost_p90,4.90288242005322
LW,duel_lost_p90,5.8284579142001
RW,duel_lost_p90,5.90061896523162
CM,duel_lost_p90,4.52738933963986
CAM,duel_lost_p90,5.56013274113987
CF,duel_lost_p90,6.27862919794599
CB,duel_lost_p90,3.08220327685224
GK,duel_lost_p90,0.0846451532638818
LM,duel_lost_p90,4.91035182369232
LB,duel_lost_p90,3.92365782819293
RWB,duel_lost_p90,4.30287658105868
LWB,duel_lost_p90,4.5677452393927
RF,duel_lost_p90,5.88639200998752
LF,duel_lost_p90,6.5236496040724
DM,aerial_won_p90,1.00800215132506
UNK,aerial_won_p90,1.67373886843139
RB,aerial_won_p90,1.03399103202246
RM,aerial_won_p90,0.748437491336832
LW,aerial_won_p90,0.657753393368169
RW,aerial_won_p90,0.647075652475859
CM,aerial_won_p90,0.90747126104033
CAM,aerial_won_p90,0.754338198806039
CF,aerial_won_p90,1.62821612536887
CB,aerial_won_p90,2.04004826514737
GK,aerial_won_p90,0.277777067731084
LM,aerial_won_p90,0.738587542802659
LB,aerial_won_p90,1.00833998472924
RWB,aerial_won_p90,0.832625116989445
LWB,aerial_won_p90,0.796803766563544
RF,aerial_won_p90,0.252808988764045
LF,aerial_won_p90,1.08088235294118
DM,aerial_lost_p90,0.945107319763877
UNK,aerial_lost_p90,2.04430152604438
RB,aerial_lost_p90,0.941952032082893
RM,aerial_lost_p90,0.971126445796132
LW,aerial_lost_p90,0.989081391227664
RW,aerial_lost_p90,1.03475141398411
CM,aerial_lost_p90,0.918946477576138
CAM,aerial_lost_p90,1.18165530292506
CF,aerial_lost_p90,2.22020711234856
CB,aerial_lost_p90,1.42007043285441
GK,aerial_lost_p90,0.024973345362093
LM,aerial_lost_p90,0.931993861031066
LB,aerial_lost_p90,0.924670953054871
RWB,aerial_lost_p90,0.90833618006487
LWB,aerial_lost_p90,0.870512708153459
RF,aerial_lost_p90,0.805555555555556
LF,aerial_lost_p90,1.25
DM,touches_p90,64.7214426490671
UNK,touches_p90,64.5558720040827
RB,touches_p90,65.4336656633145
RM,touches_p90,52.8913790146363
LW,touches_p90,48.5725245530515
RW,touches_p90,48.7298552471481
CM,touches_p90,60.1822974087231
CAM,touches_p90,51.2375453706298
CF,touches_p90,37.7198433742556
CB,touches_p90,68.0254804306661
GK,touches_p90,40.6497173211717
LM,touches_p90,54.2157223587409
LB,touches_p90,65.7106509207269
RWB,touches_p90,51.4721133157651
LWB,touches_p90,51.9618157190414
RF,touches_p90,51.0102996254682
LF,touches_p90,42.0715851244344
DM,touches_opp_box_p90,1.07284145741514
UNK,touches_opp_box_p90,3.99419837755615
RB,touches_opp_box_p90,1.33984583877147
RM,touches_opp_box_p90,2.56979412740304
LW,touches_opp_box_p90,4.15009242100207
RW,touches_opp_box_p90,3.94566491611891
CM,touches_opp_box_p90,1.41471873524126
CAM,touches_opp_box_p90,3.33813956917144
CF,touches_opp_box_p90,4.46066882162859
CB,touches_opp_box_p90,0.899748377412966
GK,touches_opp_box_p90,0.0043467563356024
LM,touches_opp_box_p90,2.57881649402117
LB,touches_opp_box_p90,1.33134485712336
RWB,touches_opp_box_p90,1.2636463486643
LWB,touches_opp_box_p90,1.43641232724758
RF,touches_opp_box_p90,3.87515605493134
LF,touches_opp_box_p90,4.70358455882353
DM,poss_won_def3rd_p90,1.84450328182058
UNK,poss_won_def3rd_p90,1.886814444365
RB,poss_won_def3rd_p90,2.27094358287234
RM,poss_won_def3rd_p90,1.80676195949171
LW,poss_won_def3rd_p90,1.4217854363133
RW,poss_won_def3rd_p90,1.36124628785251
CM,poss_won_def3rd_p90,1.79768589844833
CAM,poss_won_def3rd_p90,1.16029214237942
CF,poss_won_def3rd_p90,0.652094667610889
CB,poss_won_def3rd_p90,2.13951517048583
GK,poss_won_def3rd_p90,1.55732905636701
LM,poss_won_def3rd_p90,1.88362774672748
LB,poss_won_def3rd_p90,2.33823747098861
RWB,poss_won_def3rd_p90,2.31782090062519
LWB,poss_won_def3rd_p90,2.41898013318858
RF,poss_won_def3rd_p90,0.75561797752809
LF,poss_won_def3rd_p90,0.619343891402715
DM,poss_won_mid3rd_p90,2.71767265981504
UNK,poss_won_mid3rd_p90,2.21218638118757
RB,poss_won_mid3rd_p90,1.55454233665437
RM,poss_won_mid3rd_p90,1.66929321512884
LW,poss_won_mid3rd_p90,1.86150206614051
RW,poss_won_mid3rd_p90,1.81166374846489
CM,poss_won_mid3rd_p90,2.53258699973959
CAM,poss_won_mid3rd_p90,1.91733920463536
CF,poss_won_mid3rd_p90,1.29128456774951
CB,poss_won_mid3rd_p90,1.47920082680765
GK,poss_won_mid3rd_p90,0.0266956450422374
LM,poss_won_mid3rd_p90,1.73192751669095
LB,poss_won_mid3rd_p90,1.60239600045216
RWB,poss_won_mid3rd_p90,1.26841092871674
LWB,poss_won_mid3rd_p90,1.34432617523911
RF,poss_won_mid3rd_p90,2.0583645443196
LF,poss_won_mid3rd_p90,0.950226244343891
DM,poss_won_att3rd_p90,0.406852477408423
UNK,poss_won_att3rd_p90,0.526271874466581
RB,poss_won_att3rd_p90,0.229790476038638
RM,poss_won_att3rd_p90,0.448774289301868
LW,poss_won_att3rd_p90,0.646923235282201
RW,poss_won_att3rd_p90,0.662151510950567
CM,poss_won_att3rd_p90,0.444396796897689
CAM,poss_won_att3rd_p90,0.660059379411645
CF,poss_won_att3rd_p90,0.569730040281056
CB,poss_won_att3rd_p90,0.0685150633949533
GK,poss_won_att3rd_p90,0.000246042811449192
LM,poss_won_att3rd_p90,0.42924494523041
LB,poss_won_att3rd_p90,0.223766320742467
RWB,poss_won_att3rd_p90,0.234483008692322
LWB,poss_won_att3rd_p90,0.210207673043831
RF,poss_won_att3rd_p90,0
LF,poss_won_att3rd_p90,0.288461538461538
DM,ball_recovery_p90,4.96902841904404
UNK,ball_recovery_p90,4.65565754946631
RB,ball_recovery_p90,4.05527639556534
RM,ball_recovery_p90,3.92482946392242
LW,ball_recovery_p90,3.93021073773602
RW,ball_recovery_p90,3.83506154726796
CM,ball_recovery_p90,4.77466969508561
CAM,ball_recovery_p90,3.73769072642643
CF,ball_recovery_p90,2.51310927564146
CB,ball_recovery_p90,3.68723106068843
GK,ball_recovery_p90,8.19670589214693
LM,ball_recovery_p90,4.04480020864884
LB,ball_recovery_p90,4.16452152072858
RWB,ball_recovery_p90,3.82071483803425
LWB,ball_recovery_p90,3.97351398147152
RF,ball_recovery_p90,2.81398252184769
LF,ball_recovery_p90,1.85803167420814
DM,dispossessed_p90,0.708851623080617
UNK,dispossessed_p90,1.30285713392821
RB,dispossessed_p90,0.537461972958563
RM,dispossessed_p90,0.895900036444923
LW,dispossessed_p90,1.34722325660168
RW,dispossessed_p90,1.34717248494638
CM,dispossessed_p90,0.847273705466548
CAM,dispossessed_p90,1.35426513797624
CF,dispossessed_p90,1.32604535672002
CB,dispossessed_p90,0.183477446212023
GK,dispossessed_p90,0.00338782024995426
LM,dispossessed_p90,0.949810657085635
LB,dispossessed_p90,0.539093125017648
RWB,dispossessed_p90,0.662424392617584
LWB,dispossessed_p90,0.629333039764439
RF,dispossessed_p90,1.76404494382022
LF,dispossessed_p90,1.11934389140272
DM,turnover_p90,1.16022729152851
UNK,turnover_p90,2.42349586633345
RB,turnover_p90,1.12510255951582
RM,turnover_p90,1.79240679264815
LW,turnover_p90,2.31410218411655
RW,turnover_p90,2.34075550347225
CM,turnover_p90,1.31725350429529
CAM,turnover_p90,2.15054159018641
CF,turnover_p90,2.56432311187903
CB,turnover_p90,0.507819159243629
GK,turnover_p90,0.0293236599905835
LM,turnover_p90,1.76988062369014
LB,turnover_p90,1.17729996940787
RWB,turnover_p90,1.48438524131135
LWB,turnover_p90,1.36319016858073
RF,turnover_p90,2.08333333333333
LF,turnover_p90,0.991586538461539
DM,times_tackled_p90,1.1842379553524
UNK,times_tackled_p90,2.65292436021071
RB,times_tackled_p90,1.15478949112034
RM,times_tackled_p90,2.07129823937883
LW,times_tackled_p90,3.08223746905113
RW,times_tackled_p90,3.00149095427159
CM,times_tackled_p90,1.45066908695848
CAM,times_tackled_p90,2.58892145612682
CF,times_tackled_p90,2.47035880218067
CB,times_tackled_p90,0.308438553240108
GK,times_tackled_p90,0.00495464213225313
LM,times_tackled_p90,2.16100264761246
LB,times_tackled_p90,1.20953764927279
RWB,times_tackled_p90,1.49575090984399
LWB,times_tackled_p90,1.50173777859665
RF,times_tackled_p90,4.33083645443196
LF,times_tackled_p90,3.12425763574661
DM,corners_taken_p90,0.569843941457406
UNK,corners_taken_p90,0.638187523281319
RB,corners_taken_p90,0.124761786579838
RM,corners_taken_p90,0.607586632164891
LW,corners_taken_p90,0.80369625831077
RW,corners_taken_p90,1.05627268608996
CM,corners_taken_p90,0.646648918211846
CAM,corners_taken_p90,1.13749008518799
CF,corners_taken_p90,0.424431394903317
CB,corners_taken_p90,0.0224672009526197
GK,corners_taken_p90,8.20142704830641e-05
LM,corners_taken_p90,0.774240462845098
LB,corners_taken_p90,0.458525322375596
RWB,corners_taken_p90,0.316586660910161
LWB,corners_taken_p90,0.334454807220896
RF,corners_taken_p90,0.758426966292135
LF,corners_taken_p90,0
DM,corners_won_p90,0.278678916917208
UNK,corners_won_p90,0.789811192225946
RB,corners_won_p90,0.488691469022656
RM,corners_won_p90,0.707113345143319
LW,corners_won_p90,0.867497483846189
RW,corners_won_p90,0.934831586331628
CM,corners_won_p90,0.32965864462132
CAM,corners_won_p90,0.691573278781614
CF,corners_won_p90,0.674925276605483
CB,corners_won_p90,0.109299659150744
GK,corners_won_p90,0.0116460264085951
LM,corners_won_p90,0.7149683647494
